Cities,Count,Lat,Lng
Lamar,302,30.03990529999999,-94.0755748
Garden City,291,37.9716898,-100.8726618
Hays,269,38.8791783,-99.3267702
Dodge City,267,37.7527982,-100.0170787
Sterling,256,42.4374156,-71.76062929999999
North Platte,255,41.1402759,-100.7601454
Great Bend,253,38.3644567,-98.7648073
Columbus,197,39.9611755,-82.99879419999999
Pampa,184,35.5361559,-100.9598709
Fort Morgan,171,40.2502582,-103.7999509
Lexington,171,38.0405837,-84.5037164
Meridian,160,36.1068788,-97.1070083
Jacksonville,160,30.3321838,-81.65565099999999
Hutchinson,153,38.0608445,-97.92977429999999
Canton,145,42.3086444,-83.48211599999999
Clinton,141,38.9116696,-95.390531
Grand Forks,137,47.9252568,-97.0328547
Pierre,136,44.36678759999999,-100.3537522
Marshall,135,36.056901,-96.005218
Beatrice,134,40.2659269,-96.7466913
Maryville,133,38.6449452,-90.50457279999999
Laurel,133,39.0992752,-76.8483061
Hastings,132,42.6458682,-85.29084030000001
Brandon,131,27.937801,-82.2859247
Scottsbluff,130,41.8666341,-103.6671662
Salina,127,38.8402805,-97.61142369999999
Jasper,125,37.3400533,-94.3029439
Washington,122,47.7510741,-120.7401385
Alexandria,121,38.8048355,-77.0469214
Woodward,119,36.4336481,-99.3903862
Devils Lake,118,43.4183975,-89.7309534
Hattiesburg,114,31.3271189,-89.29033919999999
Marion,112,35.6840131,-82.00927449999999
Athens,111,37.9838096,23.7275388
Paris,111,48.856614,2.3522219
Enid,110,36.3955891,-97.8783911
Aberdeen,110,57.149717,-2.094278
Lumberton,108,34.6182199,-79.0086424
Liberal,107,37.0430812,-100.920999
Lincoln,106,35.949526,-94.4235482
Wilmington,106,34.2103894,-77.8868117
Madison,105,43.0730517,-89.4012302
Mitchell,105,43.7094283,-98.0297992
Abilene,104,32.4487364,-99.73314390000002
Lebanon,103,33.854721,35.862285
Vicksburg,103,32.3526456,-90.877882
Fort Smith,100,35.3859242,-94.39854749999999
Selma,100,38.1347501,-95.1233065
Jackson,99,32.2987573,-90.1848103
Greenville,99,34.85261759999999,-82.3940104
Plainview,99,34.1847936,-101.7068417
Grand Island,98,40.9263957,-98.3420118
Natchitoches,98,31.7607195,-93.08627489999999
Decatur,94,33.7748275,-84.2963123
Muskogee,93,35.7478769,-95.3696909
Bemidji,93,47.471573,-94.8826861
Gainesville,92,29.6516344,-82.32482619999999
Norfolk,91,36.8507689,-76.28587259999999
Valley City,91,46.9233129,-98.0031547
Okmulgee,90,35.6266957,-95.9515399
Starkville,90,33.4503998,-88.81838719999999
Brookhaven,88,36.1600503,-94.1255486
Ozark,86,36.5692952,-93.097702
Paducah,86,37.0833893,-88.6000478
Danville,86,37.8215929,-121.9999606
Carroll,85,42.0655986,-94.86727929999999
Springfield,84,37.2089572,-93.29229889999999
Henderson,83,36.0395247,-114.9817213
Huntsville,82,34.7303688,-86.5861037
Grafton,81,42.2070391,-71.6856236
Kearney,80,39.3677802,-94.3621703
Altus,80,34.637765,-99.3340442
Mount Pleasant,79,32.8323225,-79.82842579999999
Willmar,79,45.1223711,-95.048659
Dickinson,79,46.8791756,-102.7896242
Greenwood,78,39.6136578,-86.10665259999999
Watertown,78,42.3709299,-71.1828321
Natchez,77,31.5604442,-91.40317100000001
Indianola,77,41.3580484,-93.5574376
Rapid Valley,77,44.0624879,-103.1462899
El Dorado,77,37.8167564,-96.8869965
Parker,74,37.0787447,-94.5024145
Dumas,74,35.8653789,-101.9732236
San Angelo,74,31.4637723,-100.4370375
Farmington,73,41.7360305,-72.79502699999999
